runNumber	blueFillNumber
13355021	17041
13355024	17041
13355026	17041
13355027	17041
13355029	17041
13355031	17041
13355032	17041
13355033	17041
13355034	17041
13355035	17041
13355036	17041
13355037	17041
13355038	17041
13355039	17041
13355040	17041
13355041	17041
13355042	17041
13355043	17041
13355044	17041
13355045	17041
13355046	17041
13355047	17041
13355048	17041
13355049	17041
13356001	17041
13356002	17041
13356003	17041
13356004	17041
13356005	17041
13356006	17041
13356007	17041
13356008	17041
13356009	17041
13356010	17041
13356011	17041
13356012	17041
13356013	17041
13356014	17041
13356015	17041
13356016	17041
13356017	17041
13356018	17041
13356019	17041
13356020	17041
13356021	17041
13356022	17041
13356023	17041
13356026	17041
13356027	17041
13356028	17041
14003001	17041
14003002	17041
14003003	17041
14004001	17041
14004002	17041
14004003	17041
14004004	17041
14004005	17041
14004006	17041
14004007	17041
14004008	17041
14004009	17041
14004010	17041
14004011	17041
14004012	17041
14004013	17041
14004014	17041
14004015	17041
14004016	17041
14004017	17041
14004018	17041
14004019	17041
14004020	17041
14004021	17041
14004022	17041
14004024	17041
14004025	17041
14004026	17041
14004027	17041
14004028	17041
14004029	17041
14004030	17041
14004031	17041
14004033	17041
14004034	17041
14004035	17041
14004036	17041
14004038	17041
14004039	17041
14004041	17041
14004042	17041
14004044	17041
14004045	17041
14007001	17041
14007002	17041
14007003	17041
14007004	17041
14007005	17041
14007006	17041
14007007	17041
14007008	17041
14007009	17041
14007010	17041
14007011	17041
14007012	17041
14007013	17041
14007014	17041
14007020	17041
14007022	17041
14007023	17041
14007024	17041
14007025	17041
14007026	17041
14007027	17041
14007028	17041
14007030	17041
14007031	17041
14007032	17041
14007033	17041
14007034	17041
14007035	17041
14007036	17041
14007037	17041
14007038	17041
14007039	17041
14007040	17041
14007041	17041
14007042	17041
14007043	17041
14007045	17041
14008001	17041
14008002	17041
14008003	17041
14008004	17041
14008005	17041
14008006	17041
14008007	17041
14008008	17041
14008010	17041
14008011	17041
14008012	17041
14008013	17041
14008014	17041
14008015	17041
14008016	17041
14008017	17041
14008018	17041
14008019	17041
14008020	17041
14008021	17041
14009001	17041
14009002	17041
14009004	17041
14009005	17041
14009006	17041
14009007	17041
14009008	17041
14009009	17041
14009010	17041
14009011	17041
14009012	17041
14009013	17041
14009014	17041
14009015	17041
14009016	17041
14009017	17041
14009018	17041
14009019	17041
14010001	17043
14010002	17043
14010003	17043
14011003	17043
14011007	17043
14011008	17043
14011010	17043
14011014	17043
14011015	17043
14011016	17043
14011017	17043
14016001	17043
14016002	17043
14016004	17043
14016005	17043
14016006	17043
14016007	17043
14016008	17043
14016009	17043
14016011	17043
14016012	17043
14016013	17043
14016014	17043
14016015	17043
14016017	17043
14016018	17043
14016019	17043
14017001	17043
14017002	17043
14017003	17043
14017004	17044
14017005	17044
14018001	17045
14018002	17045
14018003	17045
14018004	17045
14018005	17045
14018006	17045
14018007	17045
14018008	17046
14018009	17047
14019002	17047
14019003	17047
14019005	17047
14019006	17047
14019007	17047
14019008	17047
14019009	17047
14019010	17047
14019012	17047
14019014	17047
14020001	17047
14020005	17047
14020008	17047
14020009	17047
14021001	17047
14021002	17047
14021003	17047
14021004	17047
14021005	17047
14021007	17047
14021009	17047
14021011	17047
14021012	17047
14021013	17047
14021014	17047
14021015	17047
14021016	17047
14021017	17047
14021018	17047
14021019	17047
14021020	17047
14021021	17047
14021022	17047
14021023	17047
14021024	17047
14021025	17047
14021026	17047
14021027	17047
14021028	17047
14021029	17047
14021030	17047
14021032	17047
14021033	17047
14021034	17047
14021035	17047
14021036	17047
14022001	17047
14022002	17047
14022004	17047
14022014	17047
14022015	17047
14022016	17047
14022017	17047
14022018	17047
14023001	17047
14023002	17047
14023003	17047
14023004	17047
14023005	17047
14023006	17047
14023007	17047
14023008	17047
14023010	17047
14023011	17047
14023012	17047
14023013	17047
14023014	17047
14023015	17047
14023016	17047
14023017	17047
14023018	17047
14023019	17047
14023020	17047
14023021	17047
14023021	17048
14023022	17048
14023023	17049
14023024	17049
14023025	17049
14023026	17049
14023027	17049
14023028	17050
14023029	17050
14023030	17050
14023031	17050
14023033	17050
14023034	17050
14023035	17051
14023036	17051
14023037	17051
14024001	17051
14024002	17051
14024003	17051
14024004	17051
14024005	17051
14024006	17051
14024007	17051
14024008	17051
14024009	17051
14024010	17051
14024011	17051
14024012	17051
14024014	17051
14024014	17052
14024015	17052
14024016	17052
14024017	17052
14024018	17052
14024019	17052
14024020	17052
14024021	17052
14025001	17052
14025003	17052
14025004	17052
14025006	17052
14025007	17052
14025008	17052
14025009	17052
14025010	17052
14025011	17052
14025013	17052
14025014	17052
14025015	17052
14025016	17052
14025017	17052
14025018	17052
14025019	17052
14025020	17052
14025021	17052
14025024	17052
14025032	17052
14025035	17052
14025036	17052
14025037	17052
14025037	17053
14025038	17053
14025039	17053
14026001	17053
14026002	17053
14026003	17053
14026004	17053
14026006	17053
14028001	17053
14028002	17053
14028003	17053
