runNumber	frequency
13355021	0.00000000
13355024	0.00000000
13355026	0.00000000
13355027	0.00000000
13355029	0.00000000
13355031	0.00000000
13355032	0.00000000
13355033	0.00000000
13355034	0.00000000
13355035	0.00000000
13355036	0.00000000
13355037	0.00000000
13355038	0.00000000
13355039	0.00000000
13355040	0.00000000
13355041	0.00000000
13355042	0.00000000
13355043	0.00000000
13355044	0.00000000
13355045	0.00000000
13355046	0.00000000
13355047	0.00000000
13355048	0.00000000
13355049	0.00000000
13356001	0.00000000
13356002	0.00000000
13356003	0.00000000
13356004	0.00000000
13356005	0.00000000
13356006	0.00000000
13356007	0.00000000
13356008	0.00000000
13356009	0.00000000
13356010	0.00000000
13356011	0.00000000
13356012	0.00000000
13356013	0.00000000
13356014	0.00000000
13356015	0.00000000
13356016	0.00000000
13356017	0.00000000
13356018	0.00000000
13356019	0.00000000
13356020	0.00000000
13356021	0.00000000
13356022	0.00000000
13356023	0.00000000
13356026	0.00000000
13356027	0.00000000
13356028	0.00000000
14003001	0.00000000
14003002	0.00000000
14003003	0.00000000
14004001	0.00000000
14004002	0.00000000
14004003	0.00000000
14004004	0.00000000
14004005	0.00000000
14004006	0.00000000
14004007	0.00000000
14004008	0.00000000
14004009	0.00000000
14004010	0.00000000
14004011	0.00000000
14004012	0.00000000
14004013	0.00000000
14004014	0.00000000
14004015	0.00000000
14004016	0.00000000
14004017	0.00000000
14004018	0.00000000
14004019	0.00000000
14004020	0.00000000
14004021	0.00000000
14004022	0.00000000
14004024	0.00000000
14004025	0.00000000
14004026	0.00000000
14004027	0.00000000
14004028	0.00000000
14004029	0.00000000
14004030	0.00000000
14004031	0.00000000
14004033	0.00000000
14004034	0.00000000
14004035	0.00000000
14004036	0.00000000
14004038	0.00000000
14004039	0.00000000
14004041	0.00000000
14004042	0.00000000
14004044	0.00000000
14004045	0.00000000
14007001	0.00000000
14007002	0.00000000
14007003	0.00000000
14007004	0.00000000
14007005	0.00000000
14007006	0.00000000
14007007	0.00000000
14007008	0.00000000
14007009	0.00000000
14007010	0.00000000
14007011	0.00000000
14007012	0.00000000
14007013	0.00000000
14007014	0.00000000
14007020	0.00000000
14007022	0.00000000
14007023	0.00000000
14007024	0.00000000
14007025	0.00000000
14007026	0.00000000
14007027	0.00000000
14007028	0.00000000
14007030	0.00000000
14007031	0.00000000
14007032	0.00000000
14007033	0.00000000
14007034	0.00000000
14007035	0.00000000
14007036	0.00000000
14007037	0.00000000
14007038	0.00000000
14007039	0.00000000
14007040	0.00000000
14007041	0.00000000
14007042	0.00000000
14007043	0.00000000
14007045	0.00000000
14008001	0.00000000
14008002	0.00000000
14008003	0.00000000
14008004	0.00000000
14008005	0.00000000
14008006	0.00000000
14008007	0.00000000
14008008	0.00000000
14008010	0.00000000
14008011	0.00000000
14008012	0.00000000
14008013	0.00000000
14008014	0.00000000
14008015	0.00000000
14008016	0.00000000
14008017	0.00000000
14008018	0.00000000
14008019	0.00000000
14008020	0.00000000
14008021	0.00000000
14009001	0.00000000
14009002	0.00000000
14009004	0.00000000
14009005	0.00000000
14009006	0.00000000
14009007	0.00000000
14009008	0.00000000
14009009	0.00000000
14009010	0.00000000
14009011	0.00000000
14009012	0.00000000
14009013	0.00000000
14009014	0.00000000
14009015	0.00000000
14009016	0.00000000
14009017	0.00000000
14009018	0.00000000
14009019	0.00000000
14010001	0.00000000
14010002	0.00000000
14010003	0.00000000
14011003	0.00000000
14011007	0.00000000
14011008	0.00000000
14011010	0.00000000
14011014	0.00000000
14011015	0.00000000
14011016	0.00000000
14011017	0.00000000
14016001	0.00000000
14016002	0.00000000
14016004	0.00000000
14016005	0.00000000
14016006	0.00000000
14016007	0.00000000
14016008	0.00000000
14016009	0.00000000
14016011	0.00000000
14016012	0.00000000
14016013	0.00000000
14016014	0.00000000
14016015	0.00000000
14016017	0.00000000
14016018	0.00000000
14016019	0.00000000
14017001	0.00000000
14017002	0.00000000
14017003	0.00000000
14017004	0.00000000
14017005	0.00000000
14018001	0.00000000
14018002	0.00000000
14018003	0.00000000
14018004	0.00000000
14018005	0.00000000
14018006	0.00000000
14018007	0.00000000
14018008	0.00000000
14018009	0.00000000
14019002	0.00000000
14019003	0.00000000
14019005	0.00000000
14019006	0.00000000
14019007	0.00000000
14019008	0.00000000
14019009	0.00000000
14019010	0.00000000
14019012	0.00000000
14019014	0.00000000
14020001	0.00000000
14020005	0.00000000
14020008	0.00000000
14020009	0.00000000
14021001	0.00000000
14021002	0.00000000
14021003	0.00000000
14021004	0.00000000
14021005	0.00000000
14021007	0.00000000
14021009	0.00000000
14021011	0.00000000
14021012	0.00000000
14021013	0.00000000
14021014	0.00000000
14021015	0.00000000
14021016	0.00000000
14021017	0.00000000
14021018	0.00000000
14021019	0.00000000
14021020	0.00000000
14021021	0.00000000
14021022	0.00000000
14021023	0.00000000
14021024	0.00000000
14021025	0.00000000
14021026	0.00000000
14021027	0.00000000
14021028	0.00000000
14021029	0.00000000
14021030	0.00000000
14021032	0.00000000
14021033	0.00000000
14021034	0.00000000
14021035	0.00000000
14021036	0.00000000
14022001	0.00000000
14022002	0.00000000
14022004	0.00000000
14022014	0.00000000
14022015	0.00000000
14022016	0.00000000
14022017	0.00000000
14022018	0.00000000
14023001	0.00000000
14023002	0.00000000
14023003	0.00000000
14023004	0.00000000
14023005	0.00000000
14023006	0.00000000
14023007	0.00000000
14023008	0.00000000
14023010	0.00000000
14023011	0.00000000
14023012	0.00000000
14023013	0.00000000
14023014	0.00000000
14023015	0.00000000
14023016	0.00000000
14023017	0.00000000
14023018	0.00000000
14023019	0.00000000
14023020	0.00000000
14023021	0.00000000
14023022	0.00000000
14023023	0.00000000
14023024	0.00000000
14023025	0.00000000
14023026	0.00000000
14023027	0.00000000
14023028	0.00000000
14023029	0.00000000
14023030	0.00000000
14023031	0.00000000
14023033	0.00000000
14023034	0.00000000
14023035	0.00000000
14023036	0.00000000
14023037	0.00000000
14024001	0.00000000
14024002	0.00000000
14024003	0.00000000
14024004	0.00000000
14024005	0.00000000
14024006	0.00000000
14024007	0.00000000
14024008	0.00000000
14024009	0.00000000
14024010	0.00000000
14024011	0.00000000
14024012	0.00000000
14024014	0.00000000
14024015	0.00000000
14024016	0.00000000
14024017	0.00000000
14024018	0.00000000
14024019	0.00000000
14024020	0.00000000
14024021	0.00000000
14025001	0.00000000
14025003	0.00000000
14025004	0.00000000
14025006	0.00000000
14025007	0.00000000
14025008	0.00000000
14025009	0.00000000
14025010	0.00000000
14025011	0.00000000
14025013	0.00000000
14025014	0.00000000
14025015	0.00000000
14025016	0.00000000
14025017	0.00000000
14025018	0.00000000
14025019	0.00000000
14025020	0.00000000
14025021	0.00000000
14025024	0.00000000
14025032	0.00000000
14025035	0.00000000
14025036	0.00000000
14025037	0.00000000
14025038	0.00000000
14025039	0.00000000
14026001	0.00000000
14026002	0.00000000
14026003	0.00000000
14026004	0.00000000
14026006	0.00000000
14028001	0.00000000
14028002	0.00000000
14028003	0.00000000
14029009	0.00000000
14029010	0.00000000
14029011	0.00000000
14029012	0.00000000
14029013	0.00000000
14029014	0.00000000
14029016	0.00000000
14029017	0.00000000
14029018	0.00000000
14029019	0.00000000
14030001	0.00000000
14030002	0.00000000
14030003	0.00000000
14030004	0.00000000
14030005	0.00000000
14030006	0.00000000
14030007	0.00000000
14030008	0.00000000
14030009	0.00000000
14030010	0.00000000
14030011	0.00000000
14030012	0.00000000
14030014	0.00000000
14030016	0.00000000
14030017	0.00000000
14030018	0.00000000
14030019	0.00000000
14030020	0.00000000
14030021	0.00000000
14030022	0.00000000
14030023	0.00000000
14030024	0.00000000
14030026	0.00000000
14030027	0.00000000
14030028	0.00000000
14030029	0.00000000
14030030	0.00000000
14030031	0.00000000
14030033	0.00000000
14030034	0.00000000
14030035	0.00000000
14030036	0.00000000
14030037	0.00000000
14030038	0.00000000
14030039	0.00000000
14030040	0.00000000
14030041	0.00000000
14030044	0.00000000
14030045	0.00000000
14030046	0.00000000
14030047	0.00000000
14030048	0.00000000
14030049	0.00000000
14030050	0.00000000
14030051	0.00000000
14030053	0.00000000
14030054	0.00000000
14030055	0.00000000
14030056	0.00000000
14030057	0.00000000
14030058	0.00000000
14030059	0.00000000
14030060	0.00000000
14031001	0.00000000
14031002	0.00000000
14031003	0.00000000
14031004	0.00000000
14031005	0.00000000
14031006	0.00000000
14031007	0.00000000
14031008	0.00000000
14031009	0.00000000
14031011	0.00000000
14031012	0.00000000
14031013	0.00000000
14031014	0.00000000
14031019	0.00000000
14031021	0.00000000
14031022	0.00000000
14031023	0.00000000
14031024	0.00000000
14031025	0.00000000
14031026	0.00000000
14031028	0.00000000
14031029	0.00000000
14031030	0.00000000
14031031	0.00000000
14031032	0.00000000
14031033	0.00000000
14031034	0.00000000
14031035	0.00000000
14031036	0.00000000
14031037	0.00000000
14031038	0.00000000
14031039	0.00000000
14032001	0.00000000
14032003	0.00000000
14032004	0.00000000
14032005	0.00000000
14032006	0.00000000
14032007	0.00000000
14032008	0.00000000
14032009	0.00000000
14032010	0.00000000
14032011	0.00000000
14032013	0.00000000
14032014	0.00000000
14032015	0.00000000
14032016	0.00000000
14032017	0.00000000
14032018	0.00000000
14032019	0.00000000
14032020	0.00000000
14032021	0.00000000
14032022	0.00000000
14032023	0.00000000
14032026	0.00000000
14032027	0.00000000
14032028	0.00000000
14032029	0.00000000
14032030	0.00000000
14032031	0.00000000
14032032	0.00000000
14032033	0.00000000
14032035	0.00000000
14032036	0.00000000
14032037	0.00000000
14032038	0.00000000
14032039	0.00000000
14032040	0.00000000
14032042	0.00000000
14032043	0.00000000
14032044	0.00000000
14032045	0.00000000
14032046	0.00000000
14035001	0.00000000
14035002	0.00000000
14035003	0.00000000
14035004	0.00000000
14035005	0.00000000
14035006	0.00000000
14035007	0.00000000
14035008	0.00000000
14035009	0.00000000
14035011	0.00000000
14035012	0.00000000
14035013	0.00000000
14035014	0.00000000
14035015	0.00000000
14035016	0.00000000
14035017	0.00000000
14035018	0.00000000
14035021	0.00000000
